nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
LANDMARK INFRASTRUCTURE LP 	COM UNIT LTD	51508J108	1872	110400	SH	DFND	110400	0	0
LANDS END INC NEW 	COM	51509F105	1095	65900	SH	DFND	65900	0	0
LANDS END INC NEW 	COM	51509F105	842	50700	SH	DFND	50700	0	0
LANTHEUS HLDGS INC 	COM	516544103	428	17500	SH	DFND	17500	0	0
LAREDO PETROLEUM INC 	COM	516806106	98	31622	SH	DFND	31622	0	0
LAREDO PETROLEUM INC 	COM	516806106	11	3400	SH	DFND	3400	0	0
LAREDO PETROLEUM INC 	COM	516806106	393	127300	SH	DFND	127300	0	0
LAS VEGAS SANDS CORP 	COM	517834107	1038	17033	SH	DFND	17033	0	0
LAS VEGAS SANDS CORP 	COM	517834107	9187	150700	SH	DFND	150700	0	0
LAS VEGAS SANDS CORP 	COM	517834107	12192	200000	SH	DFND	200000	0	0
LAUDER ESTEE COS INC 	CL A	518439104	1140	6884	SH	DFND	6884	0	0
LAZARD LTD 	SHS A	G54050102	2703	74800	SH	DFND	74800	0	0
LAZARD LTD 	SHS A	G54050102	314	8700	SH	DFND	8700	0	0
LCI INDS 	COM	50189K103	112	1455	SH	DFND	1455	0	0
LCI INDS 	COM	50189K103	807	10500	SH	DFND	10500	0	0
LEAF GROUP LTD	COM	52177G102	5159	643260	SH	DFND	643260	0	0
LEAR CORP 	COM NEW	521865204	3393	25000	SH	DFND	25000	0	0
LEE ENTERPRISES INC 	COM	523768109	825	250000	SH	DFND	250000	0	0
LEGG MASON INC 	COM	524901105	1944	71032	SH	DFND	71032	0	0
LEGG MASON INC 	COM	524901105	14	500	SH	DFND	500	0	0
LEGG MASON INC 	COM	524901105	16277	594700	SH	DFND	594700	0	0
LEGGETT & PLATT INC	COM	524660107	2128	50400	SH	DFND	50400	0	0
LEGGETT & PLATT INC	COM	524660107	925	21900	SH	DFND	21900	0	0
LEIDOS HLDGS INC 	COM	525327102	308	4800	SH	DFND	4800	0	0
LENNAR CORP	CL A	526057104	12736	259445	SH	DFND	259445	0	0
LENNAR CORP	CL A	526057104	1237	25200	SH	DFND	25200	0	0
LENNAR CORP	CL A	526057104	810	16500	SH	DFND	16500	0	0
LEXINFINTECH HLDGS LTD 	ADR	528877103	113	10800	SH	DFND	10800	0	0
LGI HOMES INC 	COM	50187T106	2271	37700	SH	DFND	37700	0	0
LGI HOMES INC 	COM	50187T106	6	100	SH	DFND	100	0	0
LHC GROUP INC 	COM	50187A107	599	5400	SH	DFND	5400	0	0
LHC GROUP INC 	COM	50187A107	1109	10000	SH	DFND	10000	0	0
LIBERTY GLOBAL PLC 	SHS CL A	G5480U104	995	39927	SH	DFND	39927	0	0
LIBERTY GLOBAL PLC 	SHS CL C	G5480U120	473	19553	SH	DFND	19553	0	0
LIBERTY GLOBAL PLC 	SHS CL C	G5480U120	1278	52800	SH	DFND	52800	0	0
LIBERTY OILFIELD SVCS INC 	COM CL A	53115L104	548	35626	SH	DFND	35626	0	0
LIBERTY OILFIELD SVCS INC 	COM CL A	53115L104	360	23400	SH	DFND	23400	0	0
LIBERTY TRIPADVISOR HLDGS IN 	COM SER A	531465102	40	2794	SH	DFND	2794	0	0
LIBERTY TRIPADVISOR HLDGS IN 	COM SER A	531465102	27	1900	SH	DFND	1900	0	0
LIBERTY TRIPADVISOR HLDGS IN 	COM SER A	531465102	139	9800	SH	DFND	9800	0	0
LIFE STORAGE INC 	COM	53223X107	8549	87885	SH	DFND	87885	0	0
LIFE STORAGE INC 	COM	53223X107	10	100	SH	DFND	100	0	0
LIFE STORAGE INC 	COM	53223X107	44793	460500	SH	DFND	460500	0	0
LILLY ELI & CO 	COM	532457108	34399	265100	SH	DFND	265100	0	0
LILLY ELI & CO 	COM	532457108	10238	78900	SH	DFND	78900	0	0
LINDE PLC	COM	G5494J103	24968	141920	SH	DFND	141920	0	0
LINDE PLC	COM	G5494J103	7688	43700	SH	DFND	43700	0	0
LINDE PLC	COM	G5494J103	9324	53000	SH	DFND	53000	0	0
LIONS GATE ENTMNT CORP 	CL A VTG	535919401	150	9595	SH	DFND	9595	0	0
LIONS GATE ENTMNT CORP 	CL A VTG	535919401	602	38500	SH	DFND	38500	0	0
LIQUIDITY SERVICES INC 	COM	53635B107	85	11000	SH	DFND	11000	0	0
LITHIA MTRS INC	CL A	536797103	1008	10864	SH	DFND	10864	0	0
LIVE NATION ENTERTAINMENT IN	COM	538034109	934	14700	SH	DFND	14700	0	0
LIVE OAK BANCSHARES INC 	COM	53803X105	339	23200	SH	DFND	23200	0	0
LIVE OAK BANCSHARES INC 	COM	53803X105	272	18600	SH	DFND	18600	0	0
LIVEPERSON INC 	COM	538146101	385	13283	SH	DFND	13283	0	0
LIVEPERSON INC 	COM	538146101	1689	58200	SH	DFND	58200	0	0
LIVERAMP HLDGS INC	COM	53815P108	938	17194	SH	DFND	17194	0	0
LIVERAMP HLDGS INC	COM	53815P108	2761	50600	SH	DFND	50600	0	0
LIVERAMP HLDGS INC	COM	53815P108	2046	37500	SH	DFND	37500	0	0
LKQ CORP	COM	501889208	94	3307	SH	DFND	3307	0	0
LKQ CORP	COM	501889208	1703	60000	SH	DFND	60000	0	0
LOGMEIN INC 	COM	54142L109	3731	46577	SH	DFND	46577	0	0
LOGMEIN INC 	COM	54142L109	88	1100	SH	DFND	1100	0	0
LOGMEIN INC 	COM	54142L109	18407	229800	SH	DFND	229800	0	0
LONESTAR RES US INC	COM	54240F103	16	4047	SH	DFND	4047	0	0
LONESTAR RES US INC	COM	54240F103	28	7000	SH	DFND	7000	0	0
LORAL SPACE & COMMUNICATNS I 	COM	543881106	564	15655	SH	DFND	15655	0	0
LOUISIANA PAC CORP	COM	546347105	361	14811	SH	DFND	14811	0	0
LOUISIANA PAC CORP	COM	546347105	102	4200	SH	DFND	4200	0	0
LOUISIANA PAC CORP	COM	546347105	3243	133000	SH	DFND	133000	0	0
LOWES COS INC 	COM	548661107	3426	31299	SH	DFND	31299	0	0
LOWES COS INC 	COM	548661107	2627	24000	SH	DFND	24000	0	0
LOWES COS INC 	COM	548661107	11648	106400	SH	DFND	106400	0	0
LPL FINL HLDGS INC	COM	50212V100	6053	86900	SH	DFND	86900	0	0
LTC PPTYS INC 	COM	502175102	50	1096	SH	DFND	1096	0	0
LTC PPTYS INC 	COM	502175102	591	12900	SH	DFND	12900	0	0
LTC PPTYS INC 	COM	502175102	440	9600	SH	DFND	9600	0	0
LULULEMON ATHLETICA INC	COM	550021109	8194	50000	SH	DFND	50000	0	0
LUMBER LIQUIDATORS HLDGS INC 	COM	55003T107	628	62216	SH	DFND	62216	0	0
LUMBER LIQUIDATORS HLDGS INC 	COM	55003T107	1056	104600	SH	DFND	104600	0	0
LUMENTUM HLDGS INC 	COM	55024U109	2092	37000	SH	DFND	37000	0	0
LUMENTUM HLDGS INC 	COM	55024U109	2561	45300	SH	DFND	45300	0	0
LUXOFT HLDG INC 	ORD SHS CL A	G57279104	0	5	SH	DFND	5	0	0
LUXOFT HLDG INC 	ORD SHS CL A	G57279104	358	6100	SH	DFND	6100	0	0
LYDALL INC DEL 	COM	550819106	284	12100	SH	DFND	12100	0	0
LYDALL INC DEL 	COM	550819106	54	2300	SH	DFND	2300	0	0
LYON WILLIAM HOMES 	CL A NEW	552074700	167	10866	SH	DFND	10866	0	0
LYON WILLIAM HOMES 	CL A NEW	552074700	227	14800	SH	DFND	14800	0	0
M & T BK CORP 	COM	55261F104	326	2073	SH	DFND	2073	0	0
M & T BK CORP 	COM	55261F104	7443	47400	SH	DFND	47400	0	0
M & T BK CORP 	COM	55261F104	9091	57900	SH	DFND	57900	0	0
M D C HLDGS INC 	COM	552676108	293	10070	SH	DFND	10070	0	0
M D C HLDGS INC 	COM	552676108	1144	39376	SH	DFND	39376	0	0
M D C HLDGS INC 	COM	552676108	78	2700	SH	DFND	2700	0	0
MACK CALI RLTY CORP 	COM	554489104	120	5400	SH	DFND	5400	0	0
MACK CALI RLTY CORP 	COM	554489104	100	4500	SH	DFND	4500	0	0
MACOM TECH SOLUTIONS HLDGS I 	COM	55405Y100	276	16544	SH	DFND	16544	0	0
MACOM TECH SOLUTIONS HLDGS I 	COM	55405Y100	825	49400	SH	DFND	49400	0	0
MACQUARIE INFRASTRUCTURE COR 	COM	55608B105	1480	35916	SH	DFND	35916	0	0
MACQUARIE INFRASTRUCTURE COR 	COM	55608B105	4435	107600	SH	DFND	107600	0	0
MACQUARIE INFRASTRUCTURE COR 	COM	55608B105	9040	219300	SH	DFND	219300	0	0
MACYS INC 	COM	55616P104	5447	226671	SH	DFND	226671	0	0
MACYS INC 	COM	55616P104	120	5000	SH	DFND	5000	0	0
MACYS INC 	COM	55616P104	8593	357600	SH	DFND	357600	0	0
MADDEN STEVEN LTD	COM	556269108	1076	31800	SH	DFND	31800	0	0
MAG SILVER CORP 	COM	55903Q104	1693	158800	SH	DFND	158800	0	0
MAG SILVER CORP 	COM	55903Q104	577	54100	SH	DFND	54100	0	0
MAGELLAN HEALTH INC	COM NEW	559079207	349	5300	SH	DFND	5300	0	0
MAGELLAN HEALTH INC	COM NEW	559079207	686	10400	SH	DFND	10400	0	0
MAGELLAN MIDSTREAM PRTNRS LP	COM UNIT RP LP	559080106	158	2600	SH	DFND	2600	0	0
MAGELLAN MIDSTREAM PRTNRS LP	COM UNIT RP LP	559080106	79	1300	SH	DFND	1300	0	0
MALLINCKRODT PUB LTD CO 	SHS	G5785G107	941	43292	SH	DFND	43292	0	0
MALLINCKRODT PUB LTD CO 	SHS	G5785G107	10466	481400	SH	DFND	481400	0	0
MANCHESTER UTD PLC NEW	ORD CL A	G5784H106	1406	73153	SH	DFND	73153	0	0
MANCHESTER UTD PLC NEW	ORD CL A	G5784H106	404	21000	SH	DFND	21000	0	0
MANITEX INTL INC 	COM	563420108	36	4743	SH	DFND	4743	0	0
MANITEX INTL INC 	COM	563420108	164	21400	SH	DFND	21400	0	0
MANITOWOC CO INC 	COM NEW	563571405	737	44899	SH	DFND	44899	0	0
MANITOWOC CO INC 	COM NEW	563571405	295	18000	SH	DFND	18000	0	0
MANITOWOC CO INC 	COM NEW	563571405	1972	120200	SH	DFND	120200	0	0
MANPOWERGROUP INC 	COM	56418H100	177	2143	SH	DFND	2143	0	0
MANPOWERGROUP INC 	COM	56418H100	662	8000	SH	DFND	8000	0	0
MANPOWERGROUP INC 	COM	56418H100	1166	14100	SH	DFND	14100	0	0
MANULIFE FINL CORP 	COM	56501R106	28	1636	SH	DFND	1636	0	0
MANULIFE FINL CORP 	COM	56501R106	90	5300	SH	DFND	5300	0	0
MANULIFE FINL CORP 	COM	56501R106	252	14900	SH	DFND	14900	0	0
MARATHON OIL CORP 	COM	565849106	6039	361400	SH	DFND	361400	0	0
MARATHON OIL CORP 	COM	565849106	7093	424500	SH	DFND	424500	0	0
MARATHON PETE CORP 	COM	56585A102	2497	41713	SH	DFND	41713	0	0
MARATHON PETE CORP 	COM	56585A102	928	15500	SH	DFND	15500	0	0
MARATHON PETE CORP 	COM	56585A102	60	1000	SH	DFND	1000	0	0
MARINEMAX INC 	COM	567908108	573	29892	SH	DFND	29892	0	0
MARKETAXESS HLDGS INC 	COM	57060D108	5291	21500	SH	DFND	21500	0	0
MARRIOTT INTL INC NEW 	CL A	571903202	1512	12091	SH	DFND	12091	0	0
MARRIOTT INTL INC NEW 	CL A	571903202	1276	10200	SH	DFND	10200	0	0
MARRIOTT INTL INC NEW 	CL A	571903202	813	6500	SH	DFND	6500	0	0
MARRIOTT VACTINS WORLDWID CO 	COM	57164Y107	3178	33985	SH	DFND	33985	0	0
MARRIOTT VACTINS WORLDWID CO 	COM	57164Y107	3506	37500	SH	DFND	37500	0	0
MARSH & MCLENNAN COS INC 	COM	571748102	6460	68800	SH	DFND	68800	0	0
MARSH & MCLENNAN COS INC 	COM	571748102	38	400	SH	DFND	400	0	0
MARTIN MARIETTA MATLS INC	COM	573284106	104	515	SH	DFND	515	0	0
MARTIN MARIETTA MATLS INC	COM	573284106	4486	22300	SH	DFND	22300	0	0
MARTIN MARIETTA MATLS INC	COM	573284106	5452	27100	SH	DFND	27100	0	0
MARTIN MIDSTREAM PRTNRS L P 	UNIT L P INT	573331105	11	900	SH	DFND	900	0	0
MARTIN MIDSTREAM PRTNRS L P 	UNIT L P INT	573331105	606	48700	SH	DFND	48700	0	0
MARVELL TECHNOLOGY GROUP LTD 	ORD	G5876H105	7863	395300	SH	DFND	395300	0	0
MARVELL TECHNOLOGY GROUP LTD 	ORD	G5876H105	1579	79400	SH	DFND	79400	0	0
MASCO CORP	COM	574599106	2575	65500	SH	DFND	65500	0	0
MASCO CORP	COM	574599106	2213	56300	SH	DFND	56300	0	0
MASTEC INC 	COM	576323109	113	2351	SH	DFND	2351	0	0
MASTEC INC 	COM	576323109	481	10000	SH	DFND	10000	0	0
MASTERCARD INC 	CL A	57636Q104	16221	68894	SH	DFND	68894	0	0
MASTERCARD INC 	CL A	57636Q104	51987	220800	SH	DFND	220800	0	0
MASTERCARD INC 	CL A	57636Q104	50198	213200	SH	DFND	213200	0	0
MASTERCRAFT BOAT HLDGS INC	COM	57637H103	172	7600	SH	DFND	7600	0	0
MASTERCRAFT BOAT HLDGS INC	COM	57637H103	244	10800	SH	DFND	10800	0	0
MATADOR RES CO 	COM	576485205	3	168	SH	DFND	168	0	0
MATADOR RES CO 	COM	576485205	1258	65100	SH	DFND	65100	0	0
MATADOR RES CO 	COM	576485205	736	38100	SH	DFND	38100	0	0
MATCH GROUP INC	COM	57665R106	425	7500	SH	DFND	7500	0	0
MATRIX SVC CO	COM	576853105	505	25800	SH	DFND	25800	0	0
MAXIM INTEGRATED PRODS INC 	COM	57772K101	1063	20000	SH	DFND	20000	0	0
MAXIM INTEGRATED PRODS INC 	COM	57772K101	58	1100	SH	DFND	1100	0	0
MBIA INC 	COM	55262C100	284	29813	SH	DFND	29813	0	0
MBIA INC 	COM	55262C100	361	37900	SH	DFND	37900	0	0
MBIA INC 	COM	55262C100	1949	204700	SH	DFND	204700	0	0
MCCORMICK & CO INC	COM NON VTG	579780206	3013	20000	SH	DFND	20000	0	0
MCCORMICK & CO INC	COM NON VTG	579780206	1868	12400	SH	DFND	12400	0	0
MCDONALDS CORP 	COM	580135101	30422	160200	SH	DFND	160200	0	0
MCDONALDS CORP 	COM	580135101	3798	20000	SH	DFND	20000	0	0
MCKESSON CORP 	COM	58155Q103	6927	59178	SH	DFND	59178	0	0
MCKESSON CORP 	COM	58155Q103	5607	47900	SH	DFND	47900	0	0
MDU RES GROUP INC	COM	552690109	827	32000	SH	DFND	32000	0	0
MDU RES GROUP INC	COM	552690109	664	25700	SH	DFND	25700	0	0
MEDICAL PPTYS TRUST INC 	COM	58463J304	8755	473000	SH	DFND	473000	0	0
MEDICAL PPTYS TRUST INC 	COM	58463J304	2040	110200	SH	DFND	110200	0	0
MEDIDATA SOLUTIONS INC 	COM	58471A105	478	6526	SH	DFND	6526	0	0
MEDIFAST INC	COM	58470H101	1179	9244	SH	DFND	9244	0	0
MEDIFAST INC	COM	58470H101	51	400	SH	DFND	400	0	0
MEDNAX INC	COM	58502B106	94	3477	SH	DFND	3477	0	0
MEDNAX INC	COM	58502B106	649	23900	SH	DFND	23900	0	0
MEDPACE HLDGS INC 	COM	58506Q109	744	12614	SH	DFND	12614	0	0
MEDTRONIC PLC 	SHS	G5960L103	96	1054	SH	DFND	1054	0	0
MEDTRONIC PLC 	SHS	G5960L103	1302	14300	SH	DFND	14300	0	0
MEDTRONIC PLC 	SHS	G5960L103	3652	40100	SH	DFND	40100	0	0
MEET GROUP INC	COM	58513U101	1106	219800	SH	DFND	219800	0	0
MEET GROUP INC	COM	58513U101	1	100	SH	DFND	100	0	0
MELCO RESORTS AND ENTMT LTD 	ADR	585464100	1235	54691	SH	DFND	54691	0	0
MERCADOLIBRE INC 	COM	58733R102	41278	81300	SH	DFND	81300	0	0
MERCADOLIBRE INC 	COM	58733R102	62755	123600	SH	DFND	123600	0	0
MERCER INTL INC 	COM	588056101	630	46642	SH	DFND	46642	0	0
MERCER INTL INC 	COM	588056101	112	8300	SH	DFND	8300	0	0
MERCER INTL INC 	COM	588056101	1	100	SH	DFND	100	0	0
MERCK & CO INC 	COM	58933Y105	42475	510700	SH	DFND	510700	0	0
MERCK & CO INC 	COM	58933Y105	40703	489400	SH	DFND	489400	0	0
MERIDIAN BIOSCIENCE INC 	COM	589584101	889	50500	SH	DFND	50500	0	0
MERIDIAN BIOSCIENCE INC 	COM	589584101	60	3400	SH	DFND	3400	0	0
MERIT MED SYS INC 	COM	589889104	995	16100	SH	DFND	16100	0	0
MERITOR INC 	COM	59001K100	301	14800	SH	DFND	14800	0	0
MESABI TR	CTF BEN INT	590672101	1005	34300	SH	DFND	34300	0	0
MESABI TR	CTF BEN INT	590672101	114	3900	SH	DFND	3900	0	0
METHANEX CORP 	COM	59151K108	1205	21200	SH	DFND	21200	0	0
METHANEX CORP 	COM	59151K108	387	6800	SH	DFND	6800	0	0
METHANEX CORP 	COM	59151K108	2417	42500	SH	DFND	42500	0	0
METHODE ELECTRS INC 	COM	591520200	251	8709	SH	DFND	8709	0	0
METHODE ELECTRS INC 	COM	591520200	501	17400	SH	DFND	17400	0	0
METHODE ELECTRS INC 	COM	591520200	495	17200	SH	DFND	17200	0	0
METLIFE INC 	COM	59156R108	2141	50300	SH	DFND	50300	0	0
METLIFE INC 	COM	59156R108	3171	74500	SH	DFND	74500	0	0
METTLER TOLEDO INTERNATIONAL 	COM	592688105	6652	9200	SH	DFND	9200	0	0
METTLER TOLEDO INTERNATIONAL 	COM	592688105	3832	5300	SH	DFND	5300	0	0
MFA FINL INC 	COM	55272X102	143	19628	SH	DFND	19628	0	0
MFA FINL INC 	COM	55272X102	161	22200	SH	DFND	22200	0	0
MGIC INVT CORP WIS 	COM	552848103	596	45220	SH	DFND	45220	0	0
MGM RESORTS INTERNATIONAL 	COM	552953101	5623	219151	SH	DFND	219151	0	0
MGM RESORTS INTERNATIONAL 	COM	552953101	4226	164700	SH	DFND	164700	0	0
MGM RESORTS INTERNATIONAL 	COM	552953101	17557	684200	SH	DFND	684200	0	0
MGP INGREDIENTS INC NEW	COM	55303J106	1319	17100	SH	DFND	17100	0	0
MGP INGREDIENTS INC NEW	COM	55303J106	424	5500	SH	DFND	5500	0	0
MICHAELS COS INC 	COM	59408Q106	1070	93672	SH	DFND	93672	0	0
MICHAELS COS INC 	COM	59408Q106	273	23900	SH	DFND	23900	0	0
MICHAELS COS INC 	COM	59408Q106	3113	272600	SH	DFND	272600	0	0
MICRO FOCUS INTERNATIONAL PL 	SPON ADR NEW	594837304	779	30200	SH	DFND	30200	0	0
MICROCHIP TECHNOLOGY INC 	COM	595017104	1932	23286	SH	DFND	23286	0	0
MICROCHIP TECHNOLOGY INC 	COM	595017104	8	100	SH	DFND	100	0	0
MICROCHIP TECHNOLOGY INC 	COM	595017104	9076	109400	SH	DFND	109400	0	0
MICRON TECHNOLOGY INC 	COM	595112103	5627	136140	SH	DFND	136140	0	0
MICRON TECHNOLOGY INC 	COM	595112103	83007	2008400	SH	DFND	2008400	0	0
MICRON TECHNOLOGY INC 	COM	595112103	62565	1513800	SH	DFND	1513800	0	0
MICROSOFT CORP 	COM	594918104	76555	649100	SH	DFND	649100	0	0
MICROSOFT CORP 	COM	594918104	58215	493600	SH	DFND	493600	0	0
MICROSTRATEGY INC 	CL A NEW	594972408	6001	41600	SH	DFND	41600	0	0
MICROSTRATEGY INC 	CL A NEW	594972408	1342	9300	SH	DFND	9300	0	0
MIDDLEBY CORP	COM	596278101	1430	11000	SH	DFND	11000	0	0
MIDDLEBY CORP	COM	596278101	3069	23600	SH	DFND	23600	0	0
MILACRON HLDGS CORP 	COM	59870L106	36	3195	SH	DFND	3195	0	0
MILACRON HLDGS CORP 	COM	59870L106	57	5000	SH	DFND	5000	0	0
MILACRON HLDGS CORP 	COM	59870L106	173	15300	SH	DFND	15300	0	0
MILLER HERMAN INC	COM	600544100	261	7414	SH	DFND	7414	0	0
MILLER INDS INC TENN 	COM NEW	600551204	1981	64200	SH	DFND	64200	0	0
MILLER INDS INC TENN 	COM NEW	600551204	117	3800	SH	DFND	3800	0	0
MIMECAST LTD 	ORD SHS	G14838109	396	8362	SH	DFND	8362	0	0
MIMECAST LTD 	ORD SHS	G14838109	284	6000	SH	DFND	6000	0	0
MIMECAST LTD 	ORD SHS	G14838109	1160	24500	SH	DFND	24500	0	0
MISTRAS GROUP INC 	COM	60649T107	16	1150	SH	DFND	1150	0	0
MISTRAS GROUP INC 	COM	60649T107	32	2300	SH	DFND	2300	0	0
MISTRAS GROUP INC 	COM	60649T107	138	10000	SH	DFND	10000	0	0
MITCHAM INDS INC 	COM	606501104	1295	329500	SH	DFND	329500	0	0
MITEK SYS INC 	COM NEW	606710200	201	16432	SH	DFND	16432	0	0
MKS INSTRUMENT INC 	COM	55306N104	4922	52900	SH	DFND	52900	0	0
MOBILE MINI INC 	COM	60740F105	219	6449	SH	DFND	6449	0	0
MOBILEIRON INC 	COM NEW	60739U204	29	5275	SH	DFND	5275	0	0
MOBILEIRON INC 	COM NEW	60739U204	28	5100	SH	DFND	5100	0	0
MOHAWK INDS INC 	COM	608190104	278	2207	SH	DFND	2207	0	0
MOHAWK INDS INC 	COM	608190104	1262	10000	SH	DFND	10000	0	0
MOLINA HEALTHCARE INC 	COM	60855R100	3137	22100	SH	DFND	22100	0	0
MOLINA HEALTHCARE INC 	COM	60855R100	6161	43400	SH	DFND	43400	0	0
MOLSON COORS BREWING CO 	CL B	60871R209	4151	69581	SH	DFND	69581	0	0
MOLSON COORS BREWING CO 	CL B	60871R209	2470	41400	SH	DFND	41400	0	0
MOLSON COORS BREWING CO 	CL B	60871R209	17549	294200	SH	DFND	294200	0	0
MOMO INC 	ADR	60879B107	2639	69000	SH	DFND	69000	0	0
MOMO INC 	ADR	60879B107	1273	33300	SH	DFND	33300	0	0
MONDELEZ INTL INC	CL A	609207105	13234	265100	SH	DFND	265100	0	0
MONDELEZ INTL INC	CL A	609207105	11147	223300	SH	DFND	223300	0	0
MONGODB INC 	CL A	60937P106	12482	84900	SH	DFND	84900	0	0
MONGODB INC 	CL A	60937P106	4602	31300	SH	DFND	31300	0	0
MONMOUTH REAL ESTATE INVT CO 	CL A	609720107	138	10500	SH	DFND	10500	0	0
MONMOUTH REAL ESTATE INVT CO 	CL A	609720107	109	8300	SH	DFND	8300	0	0
MONOLITHIC PWR SYS INC 	COM	609839105	2032	15000	SH	DFND	15000	0	0
MONOLITHIC PWR SYS INC 	COM	609839105	379	2800	SH	DFND	2800	0	0
MONRO INC	COM	610236101	16785	194000	SH	DFND	194000	0	0
MONRO INC	COM	610236101	372	4300	SH	DFND	4300	0	0
MOODYS CORP	COM	615369105	5083	28067	SH	DFND	28067	0	0
MOODYS CORP	COM	615369105	36	200	SH	DFND	200	0	0
MOODYS CORP	COM	615369105	6121	33800	SH	DFND	33800	0	0
MOOG INC	CL A	615394202	565	6500	SH	DFND	6500	0	0
MOOG INC	CL A	615394202	261	3000	SH	DFND	3000	0	0
MORGAN STANLEY 	COM NEW	617446448	21474	508860	SH	DFND	508860	0	0
MORGAN STANLEY 	COM NEW	617446448	18838	446400	SH	DFND	446400	0	0
MORGAN STANLEY 	COM NEW	617446448	15386	364600	SH	DFND	364600	0	0
MOSAIC CO NEW	COM	61945C103	1169	42823	SH	DFND	42823	0	0
MOSAIC CO NEW	COM	61945C103	1092	40000	SH	DFND	40000	0	0
MOSAIC CO NEW	COM	61945C103	2969	108700	SH	DFND	108700	0	0
MOTORCAR PTS AMER INC 	COM	620071100	473	25043	SH	DFND	25043	0	0
MOTOROLA SOLUTIONS INC 	COM NEW	620076307	6642	47300	SH	DFND	47300	0	0
MPLX LP 	COM UNIT REP LTD	55336V100	1018	30953	SH	DFND	30953	0	0
MPLX LP 	COM UNIT REP LTD	55336V100	5170	157200	SH	DFND	157200	0	0
MRC GLOBAL INC 	COM	55345K103	350	20000	SH	DFND	20000	0	0
MSC INDL DIRECT INC 	CL A	553530106	2415	29200	SH	DFND	29200	0	0
MSCI INC 	COM	55354G100	15032	75600	SH	DFND	75600	0	0
MSCI INC 	COM	55354G100	3440	17300	SH	DFND	17300	0	0
MTS SYS CORP 	COM	553777103	1892	34747	SH	DFND	34747	0	0
MTS SYS CORP 	COM	553777103	261	4800	SH	DFND	4800	0	0
MUELLER INDS INC	COM	624756102	852	27200	SH	DFND	27200	0	0
MUELLER INDS INC	COM	624756102	31	1000	SH	DFND	1000	0	0
MUELLER WTR PRODS INC	 SER A	624758108	54	5397	SH	DFND	5397	0	0
MUELLER WTR PRODS INC	 SER A	624758108	62	6200	SH	DFND	6200	0	0
MUELLER WTR PRODS INC	 SER A	624758108	31	3100	SH	DFND	3100	0	0
MURPHY OIL CORP 	COM	626717102	415	14173	SH	DFND	14173	0	0
MURPHY OIL CORP 	COM	626717102	3	100	SH	DFND	100	0	0
MURPHY OIL CORP 	COM	626717102	1354	46200	SH	DFND	46200	0	0
MURPHY USA INC	COM	626755102	942	11000	SH	DFND	11000	0	0
MYLAN N V 	SHS EURO	N59465109	312	11015	SH	DFND	11015	0	0
MYLAN N V 	SHS EURO	N59465109	3381	119300	SH	DFND	119300	0	0
MYLAN N V 	SHS EURO	N59465109	2706	95500	SH	DFND	95500	0	0
MYRIAD GENETICS INC 	COM	62855J104	104	3137	SH	DFND	3137	0	0
MYRIAD GENETICS INC 	COM	62855J104	3078	92700	SH	DFND	92700	0	0
NANOMETRICS INC 	COM	630077105	332	10747	SH	DFND	10747	0	0
NANOMETRICS INC 	COM	630077105	188	6100	SH	DFND	6100	0	0
NATIONAL BEVERAGE CORP 	COM	635017106	2094	36269	SH	DFND	36269	0	0
NATIONAL BEVERAGE CORP 	COM	635017106	445	7700	SH	DFND	7700	0	0
NATIONAL BEVERAGE CORP 	COM	635017106	4468	77400	SH	DFND	77400	0	0
NATIONAL FUEL GAS CO N J 	COM	636180101	2987	49000	SH	DFND	49000	0	0
NATIONAL FUEL GAS CO N J 	COM	636180101	2438	40000	SH	DFND	40000	0	0
NATIONAL GRID PLC 	SPONSORED ADR NE	636274409	546	9780	SH	DFND	9780	0	0
NATIONAL GRID PLC 	SPONSORED ADR NE	636274409	11	200	SH	DFND	200	0	0
NATIONAL HEALTH INVS INC 	COM	63633D104	1163	14800	SH	DFND	14800	0	0
NATIONAL HEALTH INVS INC 	COM	63633D104	4933	62800	SH	DFND	62800	0	0
NATIONAL HEALTHCARE CORP 	COM	635906100	2785	36700	SH	DFND	36700	0	0
NATIONAL HEALTHCARE CORP 	COM	635906100	425	5600	SH	DFND	5600	0	0
NATIONAL OILWELL VARCO INC 	COM	637071101	986	37000	SH	DFND	37000	0	0
NATIONAL OILWELL VARCO INC 	COM	637071101	400	15000	SH	DFND	15000	0	0
NATIONAL RETAIL PPTYS INC 	COM	637417106	1473	26600	SH	DFND	26600	0	0
NATIONAL RETAIL PPTYS INC 	COM	637417106	33	600	SH	DFND	600	0	0
NATIONAL VISION HLDGS INC 	COM	63845R107	376	11973	SH	DFND	11973	0	0
NATURAL RESOURCE PARTNERS L 	COM UNIT LTD PAR	63900P608	991	23600	SH	DFND	23600	0	0
NATURAL RESOURCE PARTNERS L 	COM UNIT LTD PAR	63900P608	151	3600	SH	DFND	3600	0	0
NAVIENT CORPORATION 	COM	63938C108	149	12837	SH	DFND	12837	0	0
NAVIENT CORPORATION 	COM	63938C108	43	3700	SH	DFND	3700	0	0
NAVIENT CORPORATION 	COM	63938C108	904	78100	SH	DFND	78100	0	0
