nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
ALLIANCE DATA SYSTEMS CORP	COM	018581108	3323	18991	SH	SOLE	18991	0	0
ALLIANT ENERGY CORP	COM	018802108	1420	30122	SH	SOLE	30122	0	0
ALLSCRIPTS HEALTHCARE SOLUTN	COM	01988P108	390	40886	SH	SOLE	40886	0	0
ALLSTATE CORP	COM	020002101	10726	113887	SH	SOLE	113887	0	0
ALLY FINL INC	COM	02005N100	1420	51639	SH	SOLE	51639	0	0
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	3730	39919	SH	SOLE	39919	0	0
ALPHABET INC	CAP STK CL C	02079K107	292078	248935	SH	SOLE	248935	0	0
ALPHABET INC	CAP STK CL A	02079K305	262598	223129	SH	SOLE	223129	0	0
ALTA MESA RES INC	CL A	02133L109	3	10835	SH	SOLE	10835	0	0
ALTERYX INC	COM CL A	02156B103	267	3180	SH	SOLE	3180	0	0
ALTRA INDL MOTION CORP	COM	02208R106	203	6527	SH	SOLE	6527	0	0
ALTRIA GROUP INC	COM	02209S103	17388	302766	SH	SOLE	302766	0	0
AMAG PHARMACEUTICALS INC	COM	00163U106	212	16486	SH	SOLE	16486	0	0
AMARIN CORP PLC	SPONS ADR NEW	023111206	2274	109557	SH	SOLE	109557	0	0
AMAZON COM INC	COM	023135106	603402	338847	SH	SOLE	338847	0	0
AMC NETWORKS INC	CL A	00164V103	223	3923	SH	SOLE	3923	0	0
AMDOCS LTD	SHS	G02602103	344	6349	SH	SOLE	6349	0	0
AMEDISYS INC	COM	023436108	655	5315	SH	SOLE	5315	0	0
AMEREN CORP	COM	023608102	5079	69059	SH	SOLE	69059	0	0
AMERICAN AIRLS GROUP INC	COM	02376R102	10212	321526	SH	SOLE	321526	0	0
AMERICAN ASSETS TR INC	COM	024013104	242	5275	SH	SOLE	5275	0	0
AMERICAN AXLE & MFG HLDGS IN	COM	024061103	222	15485	SH	SOLE	15485	0	0
AMERICAN CAMPUS CMNTYS INC	COM	024835100	2022	42496	SH	SOLE	42496	0	0
AMERICAN EAGLE OUTFITTERS IN	COM	02553E106	715	32253	SH	SOLE	32253	0	0
AMERICAN ELEC PWR CO INC	COM	025537101	8659	103388	SH	SOLE	103388	0	0
AMERICAN EQTY INVT LIFE HLD	COM	025676206	8394	310675	SH	SOLE	310675	0	0
AMERICAN EXPRESS CO	COM	025816109	38476	352022	SH	SOLE	352022	0	0
AMERICAN FINL GROUP INC OHIO	COM	025932104	1429	14858	SH	SOLE	14858	0	0
AMERICAN HOMES 4 RENT	CL A	02665T306	1330	58532	SH	SOLE	58532	0	0
AMERICAN INTL GROUP INC	COM NEW	026874784	9453	219525	SH	SOLE	219525	0	0
AMERICAN STS WTR CO	COM	029899101	359	5038	SH	SOLE	5038	0	0
AMERICAN TOWER CORP NEW	COM	03027X100	29816	151302	SH	SOLE	151302	0	0
AMERICAN WTR WKS CO INC NEW	COM	030420103	2402	23035	SH	SOLE	23035	0	0
AMERICOLD RLTY TR	COM	03064D108	422	13822	SH	SOLE	13822	0	0
AMERIPRISE FINL INC	COM	03076C106	4370	34116	SH	SOLE	34116	0	0
AMERISOURCEBERGEN CORP	COM	03073E105	3885	48857	SH	SOLE	48857	0	0
AMETEK INC NEW	COM	031100100	5269	63504	SH	SOLE	63504	0	0
AMGEN INC	COM	031162100	113484	597346	SH	SOLE	597346	0	0
AMICUS THERAPEUTICS INC	COM	03152W109	1313	96579	SH	SOLE	96579	0	0
AMKOR TECHNOLOGY INC	COM	031652100	95	11127	SH	SOLE	11127	0	0
AMN HEALTHCARE SERVICES INC	COM	001744101	300	6377	SH	SOLE	6377	0	0
AMNEAL PHARMACEUTICALS INC	COM STK CL A	03168L105	179	12638	SH	SOLE	12638	0	0
AMPHASTAR PHARMACEUTICALS IN	COM	03209R103	418	20479	SH	SOLE	20479	0	0
AMPHENOL CORP NEW	CL A	032095101	3395	35945	SH	SOLE	35945	0	0
AMPIO PHARMACEUTICALS INC	COM	03209T109	6	10645	SH	SOLE	10645	0	0
AMYRIS INC	COM NEW	03236M200	62	29581	SH	SOLE	29581	0	0
ANADARKO PETE CORP	COM	032511107	3999	87925	SH	SOLE	87925	0	0
ANALOG DEVICES INC	COM	032654105	33890	321930	SH	SOLE	321930	0	0
ANAPTYSBIO INC	COM	032724106	837	11462	SH	SOLE	11462	0	0
ANDERSONS INC	COM	034164103	8384	260117	SH	SOLE	260117	0	0
ANI PHARMACEUTICALS INC	COM	00182C103	362	5132	SH	SOLE	5132	0	0
ANIXTER INTL INC	COM	035290105	236	4199	SH	SOLE	4199	0	0
ANNALY CAP MGMT INC	COM	035710409	3184	318717	SH	SOLE	318717	0	0
ANSYS INC	COM	03662Q105	2470	13516	SH	SOLE	13516	0	0
ANTARES PHARMA INC	COM	036642106	48	15697	SH	SOLE	15697	0	0
ANTERO RES CORP	COM	03674X106	118	13328	SH	SOLE	13328	0	0
ANTHEM INC	COM	036752103	11889	41429	SH	SOLE	41429	0	0
ANWORTH MORTGAGE ASSET CP	COM	037347101	43	10590	SH	SOLE	10590	0	0
AON PLC	SHS CL A	G0408V102	10299	60335	SH	SOLE	60335	0	0
APACHE CORP	COM	037411105	4626	133462	SH	SOLE	133462	0	0
APARTMENT INVT & MGMT CO	CL A	03748R754	5339	106173	SH	SOLE	106173	0	0
APELLIS PHARMACEUTICALS INC	COM	03753U106	448	22995	SH	SOLE	22995	0	0
APERGY CORP	COM	03755L104	453	11023	SH	SOLE	11023	0	0
APOLLO COML REAL EST FIN INC	COM	03762U105	303	16661	SH	SOLE	16661	0	0
APPLE HOSPITALITY REIT INC	COM NEW	03784Y200	798	48977	SH	SOLE	48977	0	0
APPLE INC	COM	037833100	681028	3585299	SH	SOLE	3585299	0	0
APPLIED INDL TECHNOLOGIES IN	COM	03820C105	324	5447	SH	SOLE	5447	0	0
APPLIED MATLS INC	COM	038222105	32156	810793	SH	SOLE	810793	0	0
APTARGROUP INC	COM	038336103	12130	114013	SH	SOLE	114013	0	0
APTINYX INC	COM	03836N103	52	12878	SH	SOLE	12878	0	0
APTIV PLC	SHS	G6095L109	2453	30858	SH	SOLE	30858	0	0
AQUA AMERICA INC	COM	03836W103	11705	321203	SH	SOLE	321203	0	0
ARATANA THERAPEUTICS INC	COM	03874P101	78	21557	SH	SOLE	21557	0	0
ARBUTUS BIOPHARMA CORP	COM	03879J100	81	22682	SH	SOLE	22682	0	0
ARCH CAP GROUP LTD	ORD	G0450A105	1660	51374	SH	SOLE	51374	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	74418	1725437	SH	SOLE	1725437	0	0
ARCHROCK INC	COM	03957W106	172	17583	SH	SOLE	17583	0	0
ARCONIC INC	COM	03965L100	1741	91127	SH	SOLE	91127	0	0
ARENA PHARMACEUTICALS INC	COM NEW	040047607	995	22199	SH	SOLE	22199	0	0
ARGENX SE	SPONSORED ADR	04016X101	883	7077	SH	SOLE	7077	0	0
ARGO GROUP INTL HLDGS LTD	COM	G0464B107	249	3526	SH	SOLE	3526	0	0
ARISTA NETWORKS INC	COM	040413106	2685	8540	SH	SOLE	8540	0	0
ARLO TECHNOLOGIES INC	COM	04206A101	42	10155	SH	SOLE	10155	0	0
ARQULE INC	COM	04269E107	234	48814	SH	SOLE	48814	0	0
ARRAY BIOPHARMA INC	COM	04269X105	2367	97096	SH	SOLE	97096	0	0
ARRIS INTERNATIONAL PLC	SHS	G0551A103	679	21466	SH	SOLE	21466	0	0
ARROW ELECTRS INC	COM	042735100	580	7528	SH	SOLE	7528	0	0
ARROWHEAD PHARMACEUTICALS IN	COM	04280A100	774	42188	SH	SOLE	42188	0	0
ASCENA RETAIL GROUP INC	COM	04351G101	27	24722	SH	SOLE	24722	0	0
ASCENDIS PHARMA A S	SPONSORED ADR	04351P101	1611	13684	SH	SOLE	13684	0	0
ASGN INC	COM	00191U102	642	10115	SH	SOLE	10115	0	0
ASHLAND GLOBAL HLDGS INC	COM	044186104	705	9021	SH	SOLE	9021	0	0
ASML HOLDING N V	N Y REGISTRY SHS	N07059210	8221	43718	SH	SOLE	43718	0	0
ASPEN TECHNOLOGY INC	COM	045327103	331	3172	SH	SOLE	3172	0	0
ASSERTIO THERAPEUTICS INC	COM	04545L107	152	29962	SH	SOLE	29962	0	0
ASSOCIATED BANC CORP	COM	045487105	738	34575	SH	SOLE	34575	0	0
ASSURANT INC	COM	04621X108	3633	38275	SH	SOLE	38275	0	0
ASSURED GUARANTY LTD	COM	G0585R106	601	13532	SH	SOLE	13532	0	0
AT&T INC	COM	00206R102	104803	3341939	SH	SOLE	3341939	0	0
ATARA BIOTHERAPEUTICS INC	COM	046513107	805	20240	SH	SOLE	20240	0	0
ATHENE HLDG LTD	CL A	G0684D107	663	16262	SH	SOLE	16262	0	0
ATHENEX INC	COM	04685N103	337	27502	SH	SOLE	27502	0	0
ATHERSYS INC	COM	04744L106	19	12668	SH	SOLE	12668	0	0
ATLANTIC PWR CORP	COM NEW	04878Q863	30	11802	SH	SOLE	11802	0	0
ATMOS ENERGY CORP	COM	049560105	1534	14902	SH	SOLE	14902	0	0
ATRION CORP	COM	049904105	10744	12227	SH	SOLE	12227	0	0
AUDENTES THERAPEUTICS INC	COM	05070R104	724	18542	SH	SOLE	18542	0	0
AURINIA PHARMACEUTICALS INC	COM	05156V102	188	28985	SH	SOLE	28985	0	0
AUTODESK INC	COM	052769106	29453	189022	SH	SOLE	189022	0	0
AUTOMATIC DATA PROCESSING IN	COM	053015103	136611	855207	SH	SOLE	855207	0	0
AUTOZONE INC	COM	053332102	3092	3019	SH	SOLE	3019	0	0
AVALONBAY CMNTYS INC	COM	053484101	12585	62695	SH	SOLE	62695	0	0
AVANOS MED INC	COM	05350V106	466	10929	SH	SOLE	10929	0	0
AVAYA HLDGS CORP	COM	05351X101	193	11459	SH	SOLE	11459	0	0
AVEO PHARMACEUTICALS INC	COM	053588109	10	11651	SH	SOLE	11651	0	0
AVERY DENNISON CORP	COM	053611109	1914	16940	SH	SOLE	16940	0	0
AVIS BUDGET GROUP INC	COM	053774105	448	12840	SH	SOLE	12840	0	0
AVISTA CORP	COM	05379B107	10067	247833	SH	SOLE	247833	0	0
AVNET INC	COM	053807103	417	9625	SH	SOLE	9625	0	0
AVON PRODS INC	COM	054303102	40	13580	SH	SOLE	13580	0	0
AVROBIO INC	COM	05455M100	210	9522	SH	SOLE	9522	0	0
AXA EQUITABLE HLDGS INC	COM	054561105	538	26718	SH	SOLE	26718	0	0
AXALTA COATING SYS LTD	COM	G0750C108	323	12798	SH	SOLE	12798	0	0
AXIS CAPITAL HOLDINGS LTD	SHS	G0692U109	586	10692	SH	SOLE	10692	0	0
AXON ENTERPRISE INC	COM	05464C101	447	8220	SH	SOLE	8220	0	0
AXOS FINL INC	COM	05465C100	227	7849	SH	SOLE	7849	0	0
AXOVANT SCIENCES LTD	COM	G0750W104	70	52842	SH	SOLE	52842	0	0
B & G FOODS INC NEW	COM	05508R106	226	9239	SH	SOLE	9239	0	0
BADGER METER INC	COM	056525108	9084	163270	SH	SOLE	163270	0	0
BAIDU INC	SPON ADR REP A	056752108	27961	169617	SH	SOLE	169617	0	0
BAKER HUGHES A GE CO	CL A	05722G100	5227	188563	SH	SOLE	188563	0	0
BALCHEM CORP	COM	057665200	410	4418	SH	SOLE	4418	0	0
BALL CORP	COM	058498106	2338	40403	SH	SOLE	40403	0	0
BANCFIRST CORP	COM	05945F103	8883	170341	SH	SOLE	170341	0	0
BANCORPSOUTH BK TUPELO MISS	COM	05971J102	826	29283	SH	SOLE	29283	0	0
BANK AMER CORP	COM	060505104	70943	2571322	SH	SOLE	2571322	0	0
BANK HAWAII CORP	COM	062540109	683	8666	SH	SOLE	8666	0	0
BANK NEW YORK MELLON CORP	COM	064058100	11151	221109	SH	SOLE	221109	0	0
BANK OF MARIN BANCORP	COM	063425102	8789	215999	SH	SOLE	215999	0	0
BANK OF NT BUTTERFIELD&SON L	SHS NEW	G0772R208	218	6081	SH	SOLE	6081	0	0
BANK OZK	COM	06417N103	10338	356738	SH	SOLE	356738	0	0
BANKUNITED INC	COM	06652K103	423	12668	SH	SOLE	12668	0	0
BANNER CORP	COM NEW	06652V208	237	4383	SH	SOLE	4383	0	0
BARNES GROUP INC	COM	067806109	348	6778	SH	SOLE	6778	0	0
BAXTER INTL INC	COM	071813109	9565	117633	SH	SOLE	117633	0	0
BB&T CORP	COM	054937107	8944	192222	SH	SOLE	192222	0	0
BEACON ROOFING SUPPLY INC	COM	073685109	250	7775	SH	SOLE	7775	0	0
BECTON DICKINSON & CO	COM	075887109	85641	342933	SH	SOLE	342933	0	0
BED BATH & BEYOND INC	COM	075896100	452	26595	SH	SOLE	26595	0	0
BEIGENE LTD	SPONSORED ADR	07725L102	1738	13170	SH	SOLE	13170	0	0
BELDEN INC	COM	077454106	422	7858	SH	SOLE	7858	0	0
BELMOND LTD	CL A	G1154H107	307	12325	SH	SOLE	12325	0	0
BEMIS CO INC	COM	081437105	12697	228856	SH	SOLE	228856	0	0
BERKLEY W R CORP	COM	084423102	13675	161418	SH	SOLE	161418	0	0
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	106155	528425	SH	SOLE	528425	0	0
BEST BUY INC	COM	086516101	2741	38578	SH	SOLE	38578	0	0
BGC PARTNERS INC	CL A	05541T101	181	34126	SH	SOLE	34126	0	0
BIG LOTS INC	COM	089302103	219	5756	SH	SOLE	5756	0	0
BIO RAD LABS INC	CL A	090572207	758	2480	SH	SOLE	2480	0	0
BIO TECHNE CORP	COM	09073M104	3468	17466	SH	SOLE	17466	0	0
BIOCRYST PHARMACEUTICALS	COM	09058V103	400	49111	SH	SOLE	49111	0	0
BIOGEN INC	COM	09062X103	51566	218149	SH	SOLE	218149	0	0
BIOMARIN PHARMACEUTICAL INC	COM	09061G101	15715	176912	SH	SOLE	176912	0	0
BIOSCRIP INC	COM	09069N108	28	13759	SH	SOLE	13759	0	0
BIOTELEMETRY INC	COM	090672106	285	4551	SH	SOLE	4551	0	0
BIOTIME INC	COM	09066L105	16	12273	SH	SOLE	12273	0	0
BJS WHSL CLUB HLDGS INC	COM	05550J101	384	14004	SH	SOLE	14004	0	0
BLACK HILLS CORP	COM	092113109	22629	305515	SH	SOLE	305515	0	0
BLACKBAUD INC	COM	09227Q100	915	11476	SH	SOLE	11476	0	0
BLACKROCK INC	COM	09247X101	13082	30611	SH	SOLE	30611	0	0
BLACKSTONE MTG TR INC	COM CL A	09257W100	1402	40574	SH	SOLE	40574	0	0
BLOCK H & R INC	COM	093671105	2353	98280	SH	SOLE	98280	0	0
BLUCORA INC	COM	095229100	219	6562	SH	SOLE	6562	0	0
BLUE APRON HLDGS INC	CL A	09523Q101	152	155459	SH	SOLE	155459	0	0
BLUEBIRD BIO INC	COM	09609G100	3284	20873	SH	SOLE	20873	0	0
BLUEPRINT MEDICINES CORP	COM	09627Y109	1559	19477	SH	SOLE	19477	0	0
BOEING CO	COM	097023105	95032	249153	SH	SOLE	249153	0	0
BOK FINL CORP	COM NEW	05561Q201	329	4040	SH	SOLE	4040	0	0
BOOKING HLDGS INC	COM	09857L108	61491	35240	SH	SOLE	35240	0	0
BOOZ ALLEN HAMILTON HLDG COR	CL A	099502106	373	6412	SH	SOLE	6412	0	0
BORGWARNER INC	COM	099724106	2497	65022	SH	SOLE	65022	0	0
BOSTON BEER INC	CL A	100557107	477	1618	SH	SOLE	1618	0	0
BOSTON PRIVATE FINL HLDGS IN	COM	101119105	126	11471	SH	SOLE	11471	0	0
BOSTON PROPERTIES INC	COM	101121101	8332	62233	SH	SOLE	62233	0	0
BOSTON SCIENTIFIC CORP	COM	101137107	9642	251236	SH	SOLE	251236	0	0
BOTTOMLINE TECH DEL INC	COM	101388106	284	5674	SH	SOLE	5674	0	0
BOX INC	CL A	10316T104	265	13709	SH	SOLE	13709	0	0
BOYD GAMING CORP	COM	103304101	436	15926	SH	SOLE	15926	0	0
BRADY CORP	CL A	104674106	9648	207892	SH	SOLE	207892	0	0
BRANDYWINE RLTY TR	SH BEN INT NEW	105368203	638	40250	SH	SOLE	40250	0	0
BRIGHTHOUSE FINL INC	COM	10922N103	1069	29469	SH	SOLE	29469	0	0
BRINKER INTL INC	COM	109641100	328	7385	SH	SOLE	7385	0	0
BRINKS CO	COM	109696104	739	9804	SH	SOLE	9804	0	0
BRISTOL MYERS SQUIBB CO	COM	110122108	13560	284219	SH	SOLE	284219	0	0
BRIXMOR PPTY GROUP INC	COM	11120U105	1702	92665	SH	SOLE	92665	0	0
BROADCOM INC	COM	11135F101	102666	341413	SH	SOLE	341413	0	0
BROADRIDGE FINL SOLUTIONS IN	COM	11133T103	1447	13951	SH	SOLE	13951	0	0
BROOKDALE SR LIVING INC	COM	112463104	185	28173	SH	SOLE	28173	0	0
BROOKLINE BANCORP INC DEL	COM	11373M107	157	10888	SH	SOLE	10888	0	0
BROOKS AUTOMATION INC	COM	114340102	282	9600	SH	SOLE	9600	0	0
BROWN & BROWN INC	COM	115236101	12426	421065	SH	SOLE	421065	0	0
BROWN FORMAN CORP	CL B	115637209	84858	1607765	SH	SOLE	1607765	0	0
BRUNSWICK CORP	COM	117043109	374	7439	SH	SOLE	7439	0	0
BUILDERS FIRSTSOURCE INC	COM	12008R107	165	12394	SH	SOLE	12394	0	0
C H ROBINSON WORLDWIDE INC	COM NEW	12541W209	3933	45215	SH	SOLE	45215	0	0
CABLE ONE INC	COM	12685J105	425	433	SH	SOLE	433	0	0
CABOT CORP	COM	127055101	357	8586	SH	SOLE	8586	0	0
CABOT MICROELECTRONICS CORP	COM	12709P103	439	3924	SH	SOLE	3924	0	0
CABOT OIL & GAS CORP	COM	127097103	1941	74374	SH	SOLE	74374	0	0
CACI INTL INC	CL A	127190304	1067	5864	SH	SOLE	5864	0	0
CADENCE BANCORPORATION	CL A	12739A100	243	13079	SH	SOLE	13079	0	0
CADENCE DESIGN SYSTEM INC	COM	127387108	16651	262179	SH	SOLE	262179	0	0
CAESARS ENTMT CORP	COM	127686103	444	51139	SH	SOLE	51139	0	0
CALAVO GROWERS INC	COM	128246105	9525	113596	SH	SOLE	113596	0	0
CALIFORNIA WTR SVC GROUP	COM	130788102	10212	188132	SH	SOLE	188132	0	0
CALLAWAY GOLF CO	COM	131193104	204	12777	SH	SOLE	12777	0	0
CALLON PETE CO DEL	COM	13123X102	330	43675	SH	SOLE	43675	0	0
CAMDEN PPTY TR	SH BEN INT	133131102	3041	29956	SH	SOLE	29956	0	0
CAMPBELL SOUP CO	COM	134429109	1893	49657	SH	SOLE	49657	0	0
CANTEL MEDICAL CORP	COM	138098108	298	4456	SH	SOLE	4456	0	0
CAPITAL ONE FINL CORP	COM	14040H105	11159	136597	SH	SOLE	136597	0	0
CAPITOL FED FINL INC	COM	14057J101	431	32295	SH	SOLE	32295	0	0
CAPRI HOLDINGS LIMITED	SHS	G1890L107	2777	60700	SH	SOLE	60700	0	0
CAPSTEAD MTG CORP	COM NO PAR	14067E506	100	11694	SH	SOLE	11694	0	0
CARA THERAPEUTICS INC	COM	140755109	332	16940	SH	SOLE	16940	0	0
CARDINAL HEALTH INC	COM	14149Y108	75406	1566070	SH	SOLE	1566070	0	0
CARETRUST REIT INC	COM	14174T107	272	11612	SH	SOLE	11612	0	0
CARGURUS INC	COM CL A	141788109	278	6938	SH	SOLE	6938	0	0
CARLISLE COS INC	COM	142339100	12615	102881	SH	SOLE	102881	0	0
CARMAX INC	COM	143130102	3369	48262	SH	SOLE	48262	0	0
CARNIVAL CORP	UNIT 99/99/9999	143658300	4972	98036	SH	SOLE	98036	0	0
CARPENTER TECHNOLOGY CORP	COM	144285103	546	11904	SH	SOLE	11904	0	0
CARRIZO OIL & GAS INC	COM	144577103	149	11961	SH	SOLE	11961	0	0
CARS COM INC	COM	14575E105	352	15453	SH	SOLE	15453	0	0
CARTERS INC	COM	146229109	392	3889	SH	SOLE	3889	0	0
CARVANA CO	CL A	146869102	204	3521	SH	SOLE	3521	0	0
CASEYS GEN STORES INC	COM	147528103	10546	81898	SH	SOLE	81898	0	0
CASS INFORMATION SYS INC	COM	14808P109	8671	183326	SH	SOLE	183326	0	0
CASTLE BRANDS INC	COM	148435100	7	10027	SH	SOLE	10027	0	0
CATALENT INC	COM	148806102	727	17923	SH	SOLE	17923	0	0
CATALYST PHARMACEUTICALS INC	COM	14888U101	53	10487	SH	SOLE	10487	0	0
CATERPILLAR INC DEL	COM	149123101	107490	793344	SH	SOLE	793344	0	0
CATHAY GEN BANCORP	COM	149150104	830	24466	SH	SOLE	24466	0	0
CBL & ASSOC PPTYS INC	COM	124830100	38	24250	SH	SOLE	24250	0	0
CBOE GLOBAL MARKETS INC	COM	12503M108	2691	28200	SH	SOLE	28200	0	0
CBRE GROUP INC	CL A	12504L109	5301	107196	SH	SOLE	107196	0	0
